date_recorded,lon,lat,easting,northing,enquiry_category,division,client_office,grid_cell,grid_x,grid_y,year,month,dayofweek,hour,is_weekend,is_winter_spring,days_since_apr2016,repeat_within_14d_200m,source_file
2016-04-04 12:35:00,-5.638343246610831,54.24605732599677,353992.96229034,335593.71637903,Call Centre Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (EAST),1769_1677,1769,1677,2016,4,0,12,0,1,3.5243055555555554,1,pothole_enquiries_2016.csv
2016-04-04 12:36:00,-6.444546926628918,54.37991517003035,301117.126819431,349033.751275231,Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",1505_1745,1505,1745,2016,4,0,12,0,1,3.525,0,pothole_enquiries_2016.csv
2016-04-04 12:40:00,-6.346843176176324,54.36045835902683,307515.883143738,347012.749517338,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",1537_1735,1537,1735,2016,4,0,12,0,1,3.5277777777777777,0,pothole_enquiries_2016.csv
2016-04-04 12:50:00,-6.55594877549731,54.17370015085289,294348.940362623,325927.344483081,Call Centre Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1471_1629,1471,1629,2016,4,0,12,0,1,3.5347222222222223,0,pothole_enquiries_2016.csv
2016-04-04 13:10:00,-6.94036264317766,54.43517978675405,268809.42232673,354587.37343533,Call Centre Public Enquiry,WESTERN DIVISION,MID ULSTER (SOUTH),1344_1772,1344,1772,2016,4,0,13,0,1,3.548611111111111,0,pothole_enquiries_2016.csv
2016-04-04 13:12:00,-7.596139778119034,54.56776993182398,226171.002033902,368904.615167131,Call Centre Public Enquiry,WESTERN DIVISION,FERMANAGH & OMAGH (EAST),1130_1844,1130,1844,2016,4,0,13,0,1,3.55,0,pothole_enquiries_2016.csv
2016-04-04 13:12:00,-7.394192350243587,54.184609554522815,239600.1088375,326347.371580444,Call Centre Public Enquiry,WESTERN DIVISION,FERMANAGH & OMAGH (WEST),1198_1631,1198,1631,2016,4,0,13,0,1,3.55,0,pothole_enquiries_2016.csv
2016-04-04 13:33:00,-6.011404746130635,54.51977009350894,328818.363129288,365306.861545667,Public Enquiry,EASTERN DIVISION,CASTLEREAGH / LISBURN,1644_1826,1644,1826,2016,4,0,13,0,1,3.564583333333333,0,pothole_enquiries_2016.csv
2016-04-04 13:44:00,-5.697948825838018,54.59684023454113,348831.683233102,374503.169916272,Public Enquiry,SOUTHERN DIVISION,ARDS & NORTH DOWN,1744_1872,1744,1872,2016,4,0,13,0,1,3.5722222222222224,1,pothole_enquiries_2016.csv
2016-04-04 13:52:00,-5.704043956335767,54.60068334565496,348423.83976339,374917.981733175,Public Enquiry,SOUTHERN DIVISION,ARDS & NORTH DOWN,1742_1874,1742,1874,2016,4,0,13,0,1,3.577777777777778,0,pothole_enquiries_2016.csv
2016-04-04 13:53:00,-5.699756146060306,54.595958065491075,348718.110323617,374401.166947629,Public Enquiry,SOUTHERN DIVISION,ARDS & NORTH DOWN,1743_1872,1743,1872,2016,4,0,13,0,1,3.578472222222222,1,pothole_enquiries_2016.csv
2016-04-04 13:59:00,-5.6994342809973215,54.596992954593105,348735.137453526,374517.021452702,Public Enquiry,SOUTHERN DIVISION,ARDS & NORTH DOWN,1743_1872,1743,1872,2016,4,0,13,0,1,3.582638888888889,0,pothole_enquiries_2016.csv
2016-04-04 14:01:00,-5.941032478895641,54.76299669145137,332580.79028581,392508.41584132,Call Centre Public Enquiry,NORTHERN DIVISION,ANTRIM & NEWTOWNABBEY,1662_1962,1662,1962,2016,4,0,14,0,1,3.5840277777777776,0,pothole_enquiries_2016.csv
2016-04-04 14:35:00,-5.882174825211389,54.59623900050857,336928.893820299,374061.732791036,Public Enquiry,EASTERN DIVISION,BELFAST SOUTH,1684_1870,1684,1870,2016,4,0,14,0,1,3.607638888888889,0,pothole_enquiries_2016.csv
2016-04-04 14:36:00,-7.166881300571265,54.461871304910616,254075.6060947,357360.90851044,Call Centre Public Enquiry,WESTERN DIVISION,MID ULSTER (SOUTH),1270_1786,1270,1786,2016,4,0,14,0,1,3.6083333333333334,0,pothole_enquiries_2016.csv
2016-04-04 14:38:00,-6.767562152503269,54.50972746281578,279876.778400511,363067.75319124,Call Centre Public Enquiry,WESTERN DIVISION,MID ULSTER (SOUTH),1399_1815,1399,1815,2016,4,0,14,0,1,3.609722222222222,0,pothole_enquiries_2016.csv
2016-04-04 14:45:00,-7.344243470025395,55.0216206449321,241991.287286673,419550.690026529,Call Centre Public Enquiry,WESTERN DIVISION,LONDONDERRY & STRABANE,1209_2097,1209,2097,2016,4,0,14,0,1,3.6145833333333335,1,pothole_enquiries_2016.csv
2016-04-04 14:46:00,-6.74316915012151,54.36078807184735,281752.653414132,346517.507137683,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",1408_1732,1408,1732,2016,4,0,14,0,1,3.6152777777777776,0,pothole_enquiries_2016.csv
2016-04-04 14:47:38,-7.054407635973628,54.46617673089757,261362.8027319,357932.32794199,Public Enquiry,WESTERN DIVISION,MID ULSTER (SOUTH),1306_1789,1306,1789,2016,4,0,14,0,1,3.616412037037037,1,pothole_enquiries_2016.csv
2016-04-04 14:48:00,-6.725475321512703,54.36163669116539,282901.126231579,346632.62271317,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",1414_1733,1414,1733,2016,4,0,14,0,1,3.6166666666666667,0,pothole_enquiries_2016.csv
2016-04-04 14:54:58,-5.961867143293453,54.68203553141124,331501.71875,383458.34375,Correspondence,NORTHERN DIVISION,ANTRIM & NEWTOWNABBEY,1657_1917,1657,1917,2016,4,0,14,0,1,3.6215046296296296,0,pothole_enquiries_2016.csv
2016-04-04 14:58:00,-7.278511513457071,55.00915469426177,246209.854940814,418204.348032536,Call Centre Public Enquiry,WESTERN DIVISION,LONDONDERRY & STRABANE,1231_2091,1231,2091,2016,4,0,14,0,1,3.623611111111111,0,pothole_enquiries_2016.csv
2016-04-04 15:05:00,-6.156406144278831,54.222010891631825,320297.202948703,331911.239136973,Call Centre Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1601_1659,1601,1659,2016,4,0,15,0,1,3.6284722222222223,0,pothole_enquiries_2016.csv
2016-04-04 15:06:00,-6.484688122924037,54.0818935511609,299221.200053499,315806.827828753,Call Centre Public Enquiry,SOUTHERN DIVISION,NEWRY MOURNE & DOWN (WEST),1496_1579,1496,1579,2016,4,0,15,0,1,3.629166666666667,0,pothole_enquiries_2016.csv
2016-04-04 15:06:00,-7.30152372088276,54.602184499302616,245189.127043858,372885.016446561,Call Centre Public Enquiry,WESTERN DIVISION,FERMANAGH & OMAGH (EAST),1225_1864,1225,1864,2016,4,0,15,0,1,3.629166666666667,0,pothole_enquiries_2016.csv
2016-04-04 15:24:00,-7.3497235193305785,54.990630003959396,241672.877139115,416097.377471704,Call Centre Public Enquiry,WESTERN DIVISION,LONDONDERRY & STRABANE,1208_2080,1208,2080,2016,4,0,15,0,1,3.6416666666666666,0,pothole_enquiries_2016.csv
2016-04-04 15:39:00,-6.550958517046579,55.19870176309629,292319.178464725,440026.821468862,Call Centre Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (WEST),1461_2200,1461,2200,2016,4,0,15,0,1,3.652083333333333,0,pothole_enquiries_2016.csv
2016-04-04 15:42:00,-6.573081358880097,55.0454144570696,291259.343587623,422934.175233001,Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (EAST),1456_2114,1456,2114,2016,4,0,15,0,1,3.654166666666667,0,pothole_enquiries_2016.csv
2016-04-04 15:44:00,-6.537167811881658,54.96003587649616,293753.699109321,413477.71522585,Public Enquiry,NORTHERN DIVISION,CAUSEWAY COAST & GLENS (EAST),1468_2067,1468,2067,2016,4,0,15,0,1,3.6555555555555554,0,pothole_enquiries_2016.csv
2016-04-04 15:56:00,-6.797965962313991,54.69166300222272,277561.052962037,383285.292566127,Public Enquiry,WESTERN DIVISION,MID ULSTER (NORTH),1387_1916,1387,1916,2016,4,0,15,0,1,3.6638888888888888,1,pothole_enquiries_2016.csv
2016-04-04 15:58:00,-6.800738545869975,54.691921832721576,277381.780203617,383311.045294552,Public Enquiry,WESTERN DIVISION,MID ULSTER (NORTH),1386_1916,1386,1916,2016,4,0,15,0,1,3.665277777777778,0,pothole_enquiries_2016.csv
2016-04-04 15:59:00,-6.8144036899190095,54.69364318911439,276497.398531043,383487.68433434,Public Enquiry,WESTERN DIVISION,MID ULSTER (NORTH),1382_1917,1382,1917,2016,4,0,15,0,1,3.6659722222222224,0,pothole_enquiries_2016.csv
2016-04-04 16:02:42,-6.203771656766003,54.80503807212599,315550.75,396722.90625,Correspondence,NORTHERN DIVISION,ANTRIM & NEWTOWNABBEY,1577_1983,1577,1983,2016,4,0,16,0,1,3.6685416666666666,0,pothole_enquiries_2016.csv
2016-04-04 16:06:00,-6.492676369937802,54.35919346942725,298039.39750525,346659.379922143,Call Centre Public Enquiry,SOUTHERN DIVISION,"ARMAGH CITY, BANBRIDGE & CRAIGAVON (WEST)",1490_1733,1490,1733,2016,4,0,16,0,1,3.6708333333333334,0,pothole_enquiries_2016.csv
2016-04-04 16:09:00,-5.562343352631977,54.57030412737302,357696.748236627,371845.689635677,Public Enquiry,SOUTHERN DIVISION,ARDS & NORTH DOWN,1788_1859,1788,1859,2016,4,0,16,0,1,3.6729166666666666,0,pothole_enquiries_2016.csv
2016-04-04 16:13:00,-7.475202397793066,54.82315621383346,233780.782692934,397385.990433522,Public Enquiry,WESTERN DIVISION,LONDONDERRY & STRABANE,1168_1986,1168,1986,2016,4,0,16,0,1,3.6756944444444444,0,pothole_enquiries_2016.csv
2016-04-04 16:16:00,-5.961282353321869,54.628815178800814,331711.453529086,377536.129594785,Call Centre Public Enquiry,EASTERN DIVISION,BELFAST NORTH,1658_1887,1658,1887,2016,4,0,16,0,1,3.6777777777777776,0,pothole_enquiries_2016.csv
2016-04-04 16:27:00,-6.058755461766038,54.53178437870061,325715.674952605,366558.359996448,Call Centre Public Enquiry,EASTERN DIVISION,CASTLEREAGH / LISBURN,1628_1832,1628,1832,2016,4,0,16,0,1,3.685416666666667,0,pothole_enquiries_2016.csv
