"ENQUIRY_TYPE","ENQUIRY_CATEGORY","DATE_RECORDED","DIVISION","CLIENT_OFFICE_NAME","EASTING","NORTHING","APPROVAL_STATUS_NAME"
"Pothole","Public Enquiry",04/04/2016 18:53:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",334298.278856108,386404.265252926,"Enquiries In Progress"
"Pothole","Public Enquiry",04/04/2016 21:02:00,"EASTERN DIVISION","CASTLEREAGH / LISBURN",341625.627418172,374488.884603874,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 22:03:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",352575.431337357,341517.182484235,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 22:05:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",352575.971801095,341521.37582341,"Completed Enquiries"
"Pothole","Public Enquiry",04/04/2016 22:09:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",349401.843226583,344203.606620453,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 07:23:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",352271.399103783,381362.873121001,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 07:30:00,"SOUTHERN DIVISION","ARDS & NORTH DOWN",352248.397593352,381459.596872826,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 08:36:00,"NORTHERN DIVISION","MID & EAST ANTRIM",329950.967287495,406602.337003558,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 08:38:00,"NORTHERN DIVISION","MID & EAST ANTRIM",329225.313043895,407007.285185836,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 08:44:00,"NORTHERN DIVISION","MID & EAST ANTRIM",332947.702049479,404656.660782882,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 09:49:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",332472.39533015,383676.53860258,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 10:02:00,"SOUTHERN DIVISION","ARMAGH CITY, BANBRIDGE & CRAIGAVON (EAST)",317945.33655015,340479.999480716,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 10:09:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",306420.376811869,392388.836805437,"Completed Enquiries"
"Pothole","Public Enquiry",05/04/2016 10:17:00,"NORTHERN DIVISION","ANTRIM & NEWTOWNABBEY",334101.845485149,384447.320122067,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 10:20:00,"EASTERN DIVISION","BELFAST NORTH",334552.469835107,377706.632600168,"Completed Enquiries"
"Pothole","Call Centre Public Enquiry",05/04/2016 10:40:00,"SOUTHERN DIVISION","NEWRY MOURNE & DOWN (EAST)",351794.678829269,339019.539898474,"Completed Enquiries"
