scenario,policy,frequency_days,capacity_rate,spot_radius_m,use_sections,selected_sections,section_treatment_cost,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,event_reduction_pct,expected_spot_interventions,used_capacity,expected_spot_intervention_rate,expected_prevented_by_spot
authority_low_cost_spot,risk,28,0.2,100.0,True,2971,1197770.0,7665608.000000001,6383095.741469872,1282512.2585301287,0.16730731059168805,31731.139895013384,0.357148705530523,8343.47750399998,8466,0.16903317471636914,178.46010498662338
authority_low_cost_spot,fifo,28,0.35,100.0,False,0,0.0,7665608.000000001,7966351.003617727,-300743.00361772627,-0.03923276583119385,48391.8427773952,0.019614206292641836,14617.55736514554,14808,0.2961417618546503,968.1572226048257
authority_low_cost_spot,risk,28,0.35,100.0,False,0,0.0,7665608.000000001,7943843.709613787,-278235.7096137861,-0.0362966263881203,48322.513831216034,0.021018763549107894,14237.113144072324,14808,0.2884342209090827,1037.4861687839975
authority_low_cost_spot,risk,28,0.35,100.0,True,2971,1197770.0,7665608.000000001,6556484.458891807,1109123.5411081938,0.144688267533142,31611.13599861629,0.35957990278330043,14565.94420950116,14808,0.2950961144550478,298.46400138372024
authority_low_cost_spot,fifo,1,0.0,200.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,1,0.0,200.0,False,0,0.0,7665608.000000001,7665608.000000001,0.0,0.0,49360.0,0.0,0.0,0,0.0,0.0
authority_low_cost_spot,risk,1,0.0,200.0,True,2971,1197770.0,7665608.000000001,6153330.880000001,1512277.12,0.19728077929369725,31909.600000000006,0.35353322528363035,0.0,0,0.0,0.0
authority_low_cost_spot,fifo,1,0.05,200.0,False,0,0.0,7665608.000000001,7678430.942255605,-12822.94225560408,-0.0016727886758107222,48953.21835157504,0.008241119295481429,2462.6096000000002,2468,0.04989079416531605,406.78164842496625
authority_low_cost_spot,risk,1,0.05,200.0,False,0,0.0,7665608.000000001,7631755.5070726555,33852.49292734545,0.004416152368780851,48711.195684336155,0.0131443337857343,2168.0757386665646,2468,0.043923738627766704,648.8043156638602
authority_low_cost_spot,risk,1,0.05,200.0,True,2971,1197770.0,7665608.000000001,6179714.869207323,1485893.1307926783,0.19383891412040352,31626.72685856667,0.3592640425736088,2278.489568103885,2468,0.04616064765202361,282.87314143333344
authority_low_cost_spot,fifo,1,0.1,200.0,False,0,0.0,7665608.000000001,7669474.861405043,-3866.861405042,-0.0005044428837271616,48409.64094269661,0.019253627579079967,4907.894458984626,4936,0.09943060087083926,950.3590573034212
authority_low_cost_spot,risk,1,0.1,200.0,False,0,0.0,7665608.000000001,7612283.392493734,53324.607506266795,0.006956344168168629,48167.568463833195,0.024157851218938514,4272.845432936993,4936,0.0865649398893232,1192.4315361668291
authority_low_cost_spot,risk,1,0.1,200.0,True,2971,1197770.0,7665608.000000001,6211438.9904060885,1454169.0095939124,0.18970041379547614,31384.75129013952,0.36416630287399676,4524.209820057175,4936,0.09165741126533986,524.8487098604935
authority_low_cost_spot,fifo,1,0.2,200.0,False,0,0.0,7665608.000000001,7683314.282181384,-17706.28218138311,-0.002309834025087522,47549.99525781777,0.036669463982622184,9682.437415500799,9861,0.19615959107578604,1810.004742182163
