scenario,event_cost,section_effectiveness,selected_sections,section_treatment_cost,section_predicted_burden,section_actual_holdout_events,spot_premium,spot_effectiveness,spot_horizon_days,threshold,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,expected_prevented_events_total,event_reduction_pct,expected_spot_interventions,spot_intervention_rate,expected_prevented_by_spot,events_initially_in_selected_sections,selected_section_event_share,nominal_flagged_rate_before_prevention
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.5,7665608.000000001,6016688.241784854,1648919.758215147,0.21510619356157357,29140.95498778942,20219.04501221058,0.40962408857801014,3911.0390957350564,0.0792349897839355,2768.645012210366,29084,0.5892220421393841,0.3833670988654781
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.525,7665608.000000001,6016334.663245151,1649273.33675485,0.2151523188708384,29345.683059774066,20014.316940225934,0.4054764372006875,3482.4011208166853,0.070551076191586,2563.916940225753,29084,0.5892220421393841,0.3436588330632091
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.55,7665608.000000001,6015966.411994443,1649641.5880055577,0.21520035827628511,29532.81866842951,19827.18133157049,0.40168519715499373,3089.995637151872,0.06260120820810114,2376.7813315703406,29084,0.5892220421393841,0.30567260940032415
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.575,7665608.000000001,6018711.451271009,1646896.5487289922,0.21484226022632413,29735.570609968487,19624.429390031513,0.3975775808353224,2706.764473893246,0.05483720571096527,2174.0293900313923,29084,0.5892220421393841,0.26952998379254456
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.6,7665608.000000001,6025247.4338318575,1640360.5661681434,0.21398962302378927,29949.256417263256,19410.743582736744,0.3932484518382647,2351.4388297332926,0.04763855003511533,1960.3435827366554,29084,0.5892220421393841,0.23397487844408427
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.625,7665608.000000001,6033828.394385511,1631779.6056144899,0.2128702127234382,30156.094088814454,19203.905911185546,0.3890580614097558,2037.5597652240742,0.04127957384975839,1753.5059111854873,29084,0.5892220421393841,0.20135737439222043
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.65,7665608.000000001,6038822.037824688,1626785.9621753134,0.21221877797238173,30344.27206827384,19015.72793172616,0.38524570364112964,1714.487808279736,0.034734355921388495,1565.3279317261188,29084,0.5892220421393841,0.17040113452188008
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.675,7665608.000000001,6047296.377384048,1618311.622615953,0.21111327667889523,30520.633599869536,18839.366400130464,0.3816727390626107,1462.2930576475549,0.02962506194585808,1388.9664001304488,29084,0.5892220421393841,0.14280794165316046
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.7,7665608.000000001,6057313.841606409,1608294.1583935916,0.20980647045786732,30705.957109252733,18654.042890747267,0.3779182109146529,1212.1160338499928,0.024556645742503908,1203.6428907472703,29084,0.5892220421393841,0.11774716369529983
integrated_authority_good_ops,155.3,0.6,2971,1197770.0,23695.59847484786,29084,75.0,0.6,14,0.725,7665608.000000001,6067656.595548638,1597951.4044513628,0.20845722928323004,30890.906285321136,18469.093714678864,0.37417126650483923,967.0513258343294,0.01959180157687053,1018.6937146788911,29084,0.5892220421393841,0.09288897893030794
