scenario,threshold,n,actual_positives,flagged_n,flagged_rate,tp,fp,fn,precision,recall,f1,incremental_fast_repair_cost,avoided_repeat_cost,effectiveness,gross_benefit,intervention_cost,net_value,net_value_per_flagged,break_even_avoided_cost,break_even_avoided_cost_multiple
direct_repeat_only_low_increment,0.325,49360,28081,35604,0.7213128038897894,23483,12121,4598,0.6595607235142119,0.836259392471778,0.7374735023945985,30.86,87.8,0.5,1030903.7,1098739.44,-67835.73999999999,-1.905284237726098,93.57743388834476,3.0323212536728694
direct_repeat_only_high_effect,0.325,49360,28081,35604,0.7213128038897894,23483,12121,4598,0.6595607235142119,0.836259392471778,0.7374735023945985,30.86,87.8,0.75,1546355.55,1098739.44,447616.1100000001,12.572073643410855,62.384955925563176,2.02154750244858
ops_admin_low_claim,0.325,49360,28081,35604,0.7213128038897894,23483,12121,4598,0.6595607235142119,0.836259392471778,0.7374735023945985,75.0,155.3,0.6,2188145.94,2670300.0,-482154.06000000006,-13.542131782945738,189.52007835455436,2.5269343780607247
moderate_deterioration,0.325,49360,28081,35604,0.7213128038897894,23483,12121,4598,0.6595607235142119,0.836259392471778,0.7374735023945985,125.0,272.8,0.6,3843697.44,4450500.0,-606802.56,-17.0431007751938,315.8667972575906,2.5269343780607247
large_patch_premium,0.325,49360,28081,35604,0.7213128038897894,23483,12121,4598,0.6595607235142119,0.836259392471778,0.7374735023945985,300.0,579.8,0.6,8169266.039999999,10681200.0,-2511933.960000001,-70.55201550387599,758.0803134182174,2.5269343780607247
medium_patch_full_cost_not_incremental,0.325,49360,28081,35604,0.7213128038897894,23483,12121,4598,0.6595607235142119,0.836259392471778,0.7374735023945985,1328.0,579.8,0.6,8169266.039999999,47282112.0,-39112845.96,-1098.552015503876,3355.7688540646423,2.5269343780607247
direct_repeat_only_low_increment,0.35,49360,28081,33204,0.6726904376012965,22413,10791,5668,0.6750090350560174,0.7981553363484206,0.7314350983111692,30.86,87.8,0.5,983930.7,1024675.44,-40744.73999999999,-1.2271033610408382,91.43581314415741,2.962923303439968
direct_repeat_only_high_effect,0.35,49360,28081,33204,0.6726904376012965,22413,10791,5668,0.6750090350560174,0.7981553363484206,0.7314350983111692,30.86,87.8,0.75,1475896.05,1024675.44,451220.6100000001,13.589344958438746,60.9572087627716,1.9752822022933119
ops_admin_low_claim,0.35,49360,28081,33204,0.6726904376012965,22413,10791,5668,0.6750090350560174,0.7981553363484206,0.7314350983111692,75.0,155.3,0.6,2088443.34,2490300.0,-401856.6599999999,-12.1026581134803,185.18270646499798,2.4691027528666396
moderate_deterioration,0.35,49360,28081,33204,0.6726904376012965,22413,10791,5668,0.6750090350560174,0.7981553363484206,0.7314350983111692,125.0,272.8,0.6,3668559.84,4150500.0,-481940.16000000015,-14.514521142031086,308.63784410833,2.4691027528666396
large_patch_premium,0.35,49360,28081,33204,0.6726904376012965,22413,10791,5668,0.6750090350560174,0.7981553363484206,0.7314350983111692,300.0,579.8,0.6,7797034.439999999,9961200.0,-2164165.5600000015,-65.17785688471272,740.7308258599919,2.4691027528666396
medium_patch_full_cost_not_incremental,0.35,49360,28081,33204,0.6726904376012965,22413,10791,5668,0.6750090350560174,0.7981553363484206,0.7314350983111692,1328.0,579.8,0.6,7797034.439999999,44094912.0,-36297877.56,-1093.1778568847128,3278.9684558068975,2.4691027528666396
direct_repeat_only_low_increment,0.375,49360,28081,30820,0.6243922204213939,21284,9536,6797,0.6905905256327061,0.7579502154481678,0.7227041985704826,30.86,87.8,0.5,934367.6,951105.2,-16737.599999999977,-0.5430759247242043,89.3727870700996,2.8960721668859235
direct_repeat_only_high_effect,0.375,49360,28081,30820,0.6243922204213939,21284,9536,6797,0.6905905256327061,0.7579502154481678,0.7227041985704826,30.86,87.8,0.75,1401551.4,951105.2,450446.19999999995,14.615386112913692,59.58185804673307,1.930714777923949
ops_admin_low_claim,0.375,49360,28081,30820,0.6243922204213939,21284,9536,6797,0.6905905256327061,0.7579502154481678,0.7227041985704826,75.0,155.3,0.6,1983243.12,2311500.0,-328256.8799999999,-10.650774821544449,181.00451043037023,2.413393472404936
moderate_deterioration,0.375,49360,28081,30820,0.6243922204213939,21284,9536,6797,0.6905905256327061,0.7579502154481678,0.7227041985704826,125.0,272.8,0.6,3483765.12,3852500.0,-368734.8799999999,-11.964142764438673,301.67418405061704,2.413393472404936
large_patch_premium,0.375,49360,28081,30820,0.6243922204213939,21284,9536,6797,0.6905905256327061,0.7579502154481678,0.7227041985704826,300.0,579.8,0.6,7404277.919999999,9246000.0,-1841722.080000001,-59.757367942894255,724.0180417214809,2.413393472404936
medium_patch_full_cost_not_incremental,0.375,49360,28081,30820,0.6243922204213939,21284,9536,6797,0.6905905256327061,0.7579502154481678,0.7227041985704826,1328.0,579.8,0.6,7404277.919999999,40928960.0,-33524682.080000002,-1087.7573679428942,3204.9865313537553,2.413393472404936
direct_repeat_only_low_increment,0.4,49360,28081,28247,0.5722649918962723,19945,8302,8136,0.7060926824087513,0.7102667283928635,0.7081735548927709,30.86,87.8,0.5,875585.5,871702.42,3883.079999999958,0.13746875774418374,87.4106212083229,2.832489345700677
direct_repeat_only_high_effect,0.4,49360,28081,28247,0.5722649918962723,19945,8302,8136,0.7060926824087513,0.7102667283928635,0.7081735548927709,30.86,87.8,0.75,1313378.25,871702.42,441675.82999999996,15.636203136616276,58.273747472215256,1.888326230467118
ops_admin_low_claim,0.4,49360,28081,28247,0.5722649918962723,19945,8302,8136,0.7060926824087513,0.7102667283928635,0.7081735548927709,75.0,155.3,0.6,1858475.1,2118525.0,-260049.8999999999,-9.206283853152543,177.03058410629234,2.3604077880838976
