scenario,event_cost,intervention_premium,effectiveness,suppression_horizon_days,threshold,baseline_cost,policy_cost,cost_saving,cost_saving_pct,expected_events,expected_prevented_events,event_reduction_pct,expected_interventions,intervention_rate,nominal_flagged_rate_before_suppression
authority_plus_admin_14d,155.3,75.0,0.6,14,0.325,7665608.000000001,6664167.005554335,1001440.9944456657,0.13064077819341474,33379.01622733789,15980.983772664353,0.32376385276868136,19738.743806021266,0.3998935130879511,0.7213128038897894
authority_plus_admin_14d,155.3,75.0,0.6,14,0.35,7665608.000000001,6637981.343196772,1027626.6568032289,0.13405677107454866,34031.072460400355,15328.927539601887,0.31055363735007385,18039.41053465958,0.36546617776863005,0.6726904376012965
authority_plus_admin_14d,155.3,75.0,0.6,14,0.375,7665608.000000001,6616306.269205976,1049301.7307940247,0.13688434508965558,34678.76760771691,14681.232392285328,0.2974317745600302,16409.248796406137,0.33244021062411133,0.6243922204213939
authority_plus_admin_14d,155.3,75.0,0.6,14,0.4,7665608.000000001,6615936.670364186,1049671.3296358148,0.13693256029212747,35484.62761762006,13875.372382381853,0.2811055993188804,14735.653351345136,0.298534306145566,0.5722649918962723
authority_plus_admin_14d,155.3,75.0,0.6,14,0.425,7665608.000000001,6627259.236891861,1038348.7631081399,0.1354554998257333,36330.45444281204,13029.545557189691,0.26396972360591486,13135.195492352846,0.2661101193750577,0.5209481361426256
authority_plus_admin_14d,155.3,75.0,0.6,14,0.45,7665608.000000001,6645091.134775119,1020516.865224882,0.13312927888105966,37165.18891003459,12194.811089966954,0.24705857151469637,11644.497294003435,0.23590958861433214,0.4720421393841167
authority_plus_admin_14d,155.3,75.0,0.6,14,0.475,7665608.000000001,6676299.338625709,989308.6613742923,0.1290580814169329,38024.412160037115,11335.58783996414,0.22965129335419135,10281.441735675715,0.20829501085242536,0.42518233387358184
authority_plus_admin_14d,155.3,75.0,0.6,14,0.5,7665608.000000001,6709494.796542416,956113.2034575846,0.12472764110264763,38807.15337152763,10552.84662847343,0.213793489231612,9103.251705974326,0.18442568286009575,0.3833670988654781
authority_plus_admin_14d,155.3,75.0,0.6,14,0.525,7665608.000000001,6755886.380185292,909721.6198147088,0.118675729285232,39617.359450838085,9742.640549162837,0.19737926558269683,8044.139432989104,0.16296878916104343,0.3436588330632091
authority_plus_admin_14d,155.3,75.0,0.6,14,0.55,7665608.000000001,6803842.424012688,861765.575987313,0.1124197292618293,40416.62730748354,8943.37269251729,0.18118664287918274,7028.53604219661,0.1423933557981485,0.30567260940032415
authority_plus_admin_14d,155.3,75.0,0.6,14,0.575,7665608.000000001,6860539.886281117,805068.1137188841,0.1050233867579563,41231.20643999203,8128.793560008649,0.1646838241492701,6097.780348730588,0.12353687902614643,0.26952998379254456
authority_plus_admin_14d,155.3,75.0,0.6,14,0.6,7665608.000000001,6926818.891413214,738789.1085867872,0.09637710519332415,42086.72331378129,7273.276686219143,0.14735163464786696,5210.010143834256,0.1055512589917799,0.23397487844408427
authority_plus_admin_14d,155.3,75.0,0.6,14,0.625,7665608.000000001,6992178.929548418,673429.0704515828,0.08785070544327113,42895.16756076438,6464.832439235801,0.13097310452260175,4407.458764886347,0.08929211436155485,0.20135737439222043
authority_plus_admin_14d,155.3,75.0,0.6,14,0.65,7665608.000000001,7061714.455960529,603893.544039472,0.07877960157100022,43703.942877071204,5656.05712292888,0.11458786715820089,3659.8950287516855,0.07414698194391584,0.17040113452188008
authority_plus_admin_14d,155.3,75.0,0.6,14,0.675,7665608.000000001,7123505.824347498,542102.175652503,0.07071874476916938,44416.1352580202,4943.864741979683,0.10015933431887764,3009.0669170946912,0.06096164742898483,0.14280794165316046
authority_plus_admin_14d,155.3,75.0,0.6,14,0.7,7665608.000000001,7194070.78381219,471537.2161878105,0.06151334847644316,45139.17042386676,4220.829576132934,0.08551113403835578,2452.7682265462367,0.04969141463829491,0.11774716369529983
authority_plus_admin_14d,155.3,75.0,0.6,14,0.725,7665608.000000001,7264766.87382552,400841.12617448065,0.05229084583694869,45866.37100228651,3493.628997713247,0.07077854533455201,1889.592762344801,0.038281863094505694,0.09288897893030794
authority_plus_admin_14d,155.3,75.0,0.6,14,0.75,7665608.000000001,7330340.787024548,335267.21297545265,0.04373654548673146,46504.33717230849,2855.6628276913534,0.05785378500185387,1442.8963222747386,0.029232097290817233,0.0715964343598055
authority_plus_admin_14d,155.3,75.0,0.6,14,0.775,7665608.000000001,7389950.315049926,275657.6849500751,0.03596031586145223,47072.212755488974,2287.7872445109274,0.04634901224698189,1061.8089883757657,0.021511527317175157,0.05393030794165316
authority_plus_admin_14d,155.3,75.0,0.6,14,0.8,7665608.000000001,7454949.416951964,210658.58304803725,0.027481001252351703,47641.98642515071,1718.0135748492437,0.03480578555205207,748.6523350920778,0.015167186691492663,0.03853322528363047
authority_plus_admin_14d,155.3,75.0,0.6,14,0.825,7665608.000000001,7506646.975767577,158961.02423242386,0.020736910135820127,48101.42315340113,1258.5768465988556,0.025497910182311043,486.61280067100313,0.009858444097872834,0.026195299837925446
authority_plus_admin_14d,155.3,75.0,0.6,14,0.85,7665608.000000001,7551328.5943644075,114279.40563559346,0.014908068040472908,48478.56284641997,881.4371535800403,0.017857316725689444,301.43712428553977,0.006106910945817256,0.016997568881685576
authority_plus_admin_14d,155.3,75.0,0.6,14,0.875,7665608.000000001,7590046.938308535,75561.06169146579,0.009857151799500545,48789.03224627287,570.9677537271349,0.01156741802526595,174.80307291271544,0.0035413912664650615,0.010149918962722852
authority_plus_admin_14d,155.3,75.0,0.6,14,0.9,7665608.000000001,7616869.170350024,48738.829649977386,0.006358116622970726,49001.761396003,358.23860399700015,0.007257670259258522,91.94167409223019,0.0018626757312040151,0.0059359805510534845
moderate_asset_30d,272.8,125.0,0.6,30,0.2,13465408.0,11282890.461290043,2182517.538709957,0.16208328323285542,28932.973680465835,20427.02631953495,0.41383764828877967,27119.801930068195,0.549428726297978,0.963128038897893
moderate_asset_30d,272.8,125.0,0.6,30,0.225,13465408.0,11217847.431113305,2247560.5688866954,0.16691366268936636,29219.137761175865,20140.8622388251,0.408040158809241,25974.933198912608,0.5262344651319409,0.9338735818476499
